@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
190,21,8,78,1,10,?
113,6,12,33,0,4,?
74,7,4,16,2,2,?
221,29,13,77,1,10,?
172,21,8,44,0,2,?
44,3,5,4,0,4,?
181,22,3,49,0,10,?
118,13,5,35,0,3,?
77,3,6,23,0,3,?
188,21,4,61,0,11,?
74,0,7,0,0,0,?
25,0,2,0,0,0,?
63,7,3,13,0,0,?
47,0,5,1,0,0,?
28,0,2,0,0,0,?
105,11,3,15,1,0,?
103,11,5,29,0,3,?
43,4,2,7,0,0,?
163,20,6,47,0,4,?
252,24,8,104,0,9,?
110,8,12,10,0,2,?
98,17,3,30,0,2,?
90,9,5,20,0,5,?
67,8,3,11,0,2,?
8,0,1,0,0,0,?
367,23,31,80,4,16,?
326,39,17,86,1,14,?
175,28,3,56,0,7,?
102,5,8,8,0,4,?
174,12,11,35,0,1,?
50,5,4,7,0,0,?
123,18,5,26,1,5,?
137,15,4,63,0,12,?
199,23,4,78,0,20,?
532,57,13,284,0,41,?
187,16,6,92,0,13,?
119,14,2,53,1,8,?
293,25,6,112,0,26,?
242,12,13,80,0,15,?
108,8,3,33,0,9,?
174,15,2,48,0,15,?
209,27,3,85,0,16,?
19,1,2,0,0,0,?
93,14,6,28,0,1,?
74,7,6,17,0,1,?
63,7,4,14,0,6,?
116,10,7,47,0,4,?
68,6,8,38,0,1,?
85,6,7,13,0,1,?
128,19,6,23,0,2,?
88,6,5,25,0,6,?
10,0,2,0,0,0,?
10,0,1,0,0,0,?
53,7,2,15,0,1,?
149,17,10,42,0,5,?
48,0,5,12,0,2,?
16,1,2,0,0,0,?
47,6,2,10,0,2,?
7,0,0,0,0,0,?
188,12,4,129,0,6,?
23,0,2,0,0,0,?
46,3,3,11,0,1,?
81,8,3,20,0,4,?
46,3,3,11,0,1,?
110,3,9,9,0,1,?
83,3,7,6,0,4,?
58,3,1,19,0,3,?
31,1,2,3,0,1,?
47,1,3,11,0,2,?
54,4,3,16,0,1,?
77,5,3,27,0,5,?
67,6,3,23,0,3,?
59,1,3,8,0,2,?
120,10,5,59,0,9,?
78,5,3,30,0,5,?
67,6,3,22,0,2,?
112,11,4,40,0,7,?
59,7,3,5,0,1,?
77,5,3,28,0,4,?
45,3,4,6,0,2,?
18,2,3,0,0,0,?
19,0,1,5,0,0,?
47,3,9,6,0,0,?
98,5,11,33,0,5,?
248,27,7,73,0,7,?
51,0,5,0,0,0,?
61,7,8,10,0,2,?
67,1,5,6,0,0,?
22,6,1,0,0,1,?
41,8,1,9,0,1,?
159,31,11,29,0,1,?
174,19,12,28,1,9,?
125,9,8,39,0,0,?
85,5,9,39,0,3,?
446,45,13,433,0,0,?
722,158,25,397,5,0,?
128,37,3,30,1,0,?
53,1,5,5,0,0,?
112,14,3,51,0,0,?
129,10,7,43,0,0,?
107,14,6,39,0,0,?
76,11,3,24,0,0,?
55,2,4,41,0,0,?
122,18,6,61,1,1,?
265,24,15,213,0,0,?
110,10,7,65,0,0,?
87,7,7,38,0,0,?
84,9,1,40,0,0,?
419,26,28,233,3,1,?
33,4,2,9,0,0,?
430,70,19,257,0,1,?
51,7,1,16,0,1,?
209,18,15,112,0,12,?
251,14,15,66,0,3,?
379,37,17,252,3,0,?
